user_id,stimulus,label,edge_index,node_features,system_label,gREL_label
A01,g-rel_q075-1,False,"[[2, 1], [1, 0], [0, 1], [1, 2], [2, 3], [3, 2]]","[[2, 0.3254855878487193, 0.16274279392435964, 0.05966931349719383, 101.71988281399854, 1.0265185553521405, 101.72506230048756, 99.09210338541244, 101.72506230048756, 1205.4239391016615, 12.16468212823419, 1205.4853182227675, 104.41734715681481, 320.8048253286913, 0.01915390549997774, 0, 0], [20, 4.65323840405947, 0.2326619202029735, 0.09047397506946313, 3605.535233654961, 578.163344781997, 3719.313250401582, 6.236187863162561, 206.628513911199, 4154.026362755692, 666.1162963504853, 4285.112831320973, 2084588.3104192913, 447986.5696545234, 9.594220547066787e-06, 27718.955293552182, 0.0001550593052974543], [22, 4.797898665325566, 0.21808630296934392, 0.13418279189367632, 4966.3255937627155, 405.2919455301836, 4994.528091417981, 12.253699212467707, 262.8698995483148, 3961.264576019264, 323.270916588912, 3983.759588238636, 2012811.7620324353, 419519.4401622182, 1.0929983824113546e-05, 36135.6515441449, 0.00012689243168267109], [18, 4.279532729122048, 0.23775181828455821, 0.11860613228541271, 3775.562721076172, 444.9251624074009, 3880.239215945786, 8.48583770953155, 228.24936564386977, 4893.659143194768, 576.6854505947081, 5029.33457068449, 1679842.856854144, 392529.50337846024, 1.0715287996466974e-05, 37502.29758913926, 0.00011215490639774676]]",False,i
A01,g-rel_q076-1,False,"[[2, 1], [1, 0], [0, 1], [1, 2], [2, 2], [2, 1], [1, 2], [2, 2], [2, 3], [3, 4], [4, 3], [3, 4], [4, 4], [4, 4]]","[[2, 0.45803492981838945, 0.22901746490919472, 0.06818517997787098, 254.422881856677, 0.03342730447820941, 254.4228840525972, 7611.2293775446415, 254.4228840525972, 7035.904091701119, 0.9244109910100855, 7035.904152427905, 8.504671138046643, 18.567734869955746, 0.23516488380753087, 0, 0], [12, 2.3504424030154185, 0.19587020025128488, 0.06255295620607858, 2547.244799299897, 263.4341430483453, 2576.155618732164, 9.669379867864842, 286.23951319246265, 5031.603282795968, 520.3646305713945, 5088.711172074493, 671031.2508379226, 285491.46746886725, 1.7882922717854786e-05, 49375.3953510286, 0.00010340012091156553], [29, 5.882132782930897, 0.2028321649286516, 0.09049164133920694, 5170.37470718129, 564.0736233858458, 5215.317441983499, 9.166134512984621, 217.3048934159791, 5644.083420920906, 615.7539378159436, 5693.1438002461555, 2916471.995342282, 495818.79616955674, 9.943520817725702e-06, 48140.68322121351, 0.00010241201810279182], [13, 2.0249965318286733, 0.15576896398682102, 0.0356418212659669, 2151.4210727266177, 160.17283942385336, 2160.8342484892914, 13.43187197320935, 196.43947713539012, 3880.1863579927626, 288.879045730336, 3897.1634512464902, 344599.2220149349, 170172.74676700038, 3.772498360265184e-05, 37120.552141094464, 0.00017294365819241916], [57, 13.234798761594512, 0.23218945195779844, 0.1842927594967719, 10596.062761075385, 788.6138468282912, 10737.495045173031, 13.43631335373004, 202.5942461353402, 4395.41133992242, 327.129267099313, 4454.079647139093, 8356201.815245665, 631381.1011236653, 6.8212809192814175e-06, 12478.834416264643, 0.000345130619914014]]",True,r
A01,g-rel_q085-2,False,"[[1, 0], [0, 1], [1, 2], [2, 2], [2, 3], [3, 2], [2, 2]]","[[13, 2.953975710364105, 0.22722890079723887, 0.08926096830011945, 1374.754122287083, 114.57627502930768, 1380.282223531206, 11.998593268418196, 115.0235186276005, 3455.1766427110792, 287.9651443645096, 3469.070448146963, 157514.2064128393, 53322.783210503854, 8.253223817747238e-05, 4769.514949451066, 0.0009227036063114831], [16, 3.8341399016154516, 0.23963374385096572, 0.1392140470049093, 2314.250207316154, 278.73319255910474, 2400.98363285441, 8.302743516366185, 171.49883091817216, 4681.506374060421, 563.8505350469202, 4856.959781482746, 645058.3486658016, 168240.69158092455, 2.480395770877689e-05, 36295.710461010705, 0.00011497322812709103], [25, 5.0760154043399535, 0.20304061617359814, 0.07462391278853084, 3232.4199429246546, 853.3040377711129, 3581.2384195106083, 3.7881221696406726, 170.53516283383848, 3672.519258400029, 969.4827922480628, 4068.8299468524096, 2758236.989069478, 543386.2526719692, 9.063760691728679e-06, 52552.67132390208, 9.371784218234194e-05], [5, 0.9886775846932938, 0.19773551693865876, 0.08593551652682924, 756.4241331401291, 92.45074121742164, 765.2967203124749, 8.181915290015942, 191.32418007811873, 3485.3952546641694, 425.98769739369646, 3526.277706548289, 69931.97178355057, 70732.8383552306, 7.149805550279225e-05, 24375.10133157709, 0.0002074764873301596]]",False,i
A01,g-rel_q088-1,False,"[[2, 1], [1, 0], [0, 1], [1, 0], [0, 1], [1, 2], [2, 3], [3, 3], [3, 4], [4, 3], [3, 4], [4, 3], [3, 1], [1, 2], [2, 1], [1, 2], [2, 1], [1, 2], [2, 2], [2, 1], [1, 2], [2, 3], [3, 3], [3, 4], [4, 4]]","[[13, 3.024996866154448, 0.23269206662726521, 0.07484155841963402, 1876.7802021615194, 87.1228907742809, 1879.7354817020873, 21.541757688273975, 170.88504379109884, 6770.7124508082015, 314.3064065980914, 6781.373980569596, 163510.5165602509, 54053.11932376147, 7.950558944757366e-05, 3615.7847764074368, 0.001188545607403551], [53, 12.847197845898979, 0.2423999593565845, 0.09695333839235086, 8801.556475740881, 900.0552073724575, 8952.51520544665, 9.778907342178904, 194.61989577057938, 4681.485408126967, 478.73297540457656, 4761.779284817391, 7921886.738973355, 616623.7053399269, 6.690325391709474e-06, 13974.054598470277, 0.0002952194872215039], [42, 9.32807798567146, 0.2220970948969395, 0.09949349441520183, 6809.787577683818, 827.5180726879915, 6970.051360450725, 8.229170821084157, 199.14432458430642, 4185.511974924071, 508.61891992815, 4284.015191693377, 5635222.29169954, 604113.9772154148, 7.453122135370657e-06, 17570.31025034798, 0.00025625815319805405], [19, 4.555572969746535, 0.23976699840771237, 0.1295461894585306, 2169.093026314071, 443.7639672470606, 2245.2232392628503, 4.8879431103211965, 172.70947994329617, 5624.410264854233, 1150.6701567327862, 5821.814224011426, 962565.3266850648, 211294.02011062956, 1.973892002263705e-05, 22439.478255878763, 0.00018586509528725447], [37, 8.725488968509246, 0.23582402617592557, 0.0963950140768201, 5809.930362235502, 369.1249432395112, 5829.144688913742, 15.73973926347659, 176.64074814890128, 4155.867858898456, 264.03663931981225, 4169.611948361475, 2144590.2151856925, 245784.53115070486, 1.72527132400426e-05, 11699.553862137938, 0.0003624454474716647]]",False,t
A01,g-rel_q094-2,False,"[[2, 0], [0, 1], [1, 1], [1, 2], [2, 3], [3, 2], [2, 1], [1, 0], [0, 1], [1, 2], [2, 2], [2, 2], [2, 2], [2, 1], [1, 0]]","[[14, 3.4462775757030695, 0.24616268397879065, 0.11448296643190146, 2118.7857354939306, 247.91461760238417, 2182.983938846667, 8.546433267973443, 198.453085349697, 6762.84558584304, 791.3061945017289, 6967.756601095791, 525277.9553963641, 152418.9343016582, 2.6652555768185405e-05, 11179.805612702157, 0.0003633653649565077], [26, 6.410558287671437, 0.2465599341412091, 0.1461265834158734, 5220.419253516378, 688.5490925838346, 5412.100902736609, 7.581767676036496, 257.7190906065052, 5348.551018726774, 705.4490782712592, 5544.9373682556015, 3594514.9399158815, 560717.9248067563, 7.233242992337779e-06, 22470.01167919444, 0.00018049874909686984], [106, 24.557740207282688, 0.23167679440832722, 0.09850354944706366, 19468.62892687129, 1776.5541660951767, 19613.4834892313, 10.958646405734347, 198.11599484072022, 4910.833938042778, 448.12413469907, 4947.372551192677, 34587073.82819426, 1408398.066607828, 3.064728763310189e-06, 12594.121641004658, 0.0003427279954856102], [24, 5.301965501081657, 0.2209152292117357, 0.10160695761391204, 6987.872748048823, 457.9197995081341, 7008.458342045799, 15.260036267387248, 304.7155800889478, 4873.195171977347, 319.3436166591571, 4887.551131350872, 3199885.287774871, 603528.1231313294, 7.500268866415854e-06, 24602.92032575221, 0.00018398723127149367]]",False,t
A01,g-rel_q097-2,False,"[[1, 0], [0, 1], [1, 1], [1, 2], [2, 2], [2, 2], [2, 2], [2, 3], [3, 3], [3, 4], [4, 1], [1, 0]]","[[8, 1.9286602952226757, 0.24108253690283446, 0.09020482550246885, 796.8494188922126, 52.11267250763194, 798.9136891767594, 15.290895295679057, 133.15228152945988, 6610.594273058901, 432.32225093627716, 6627.719281871785, 41525.9528046267, 21530.983402047106, 0.0001926506066613037, 4424.957756452963, 0.0009374003646407305], [29, 6.256091832628552, 0.21572730457339837, 0.09165128052022865, 5004.155782773693, 568.309504555665, 5099.421706572041, 8.80533537211596, 203.97686826288165, 5125.190884049569, 582.0551594524858, 5222.760996853137, 2843909.2936274833, 454582.4085885564, 1.0197230996425246e-05, 20599.53408215336, 0.00022502847922686154], [21, 4.604676454844139, 0.21927030737353043, 0.059618479095617634, 3503.1201780021247, 341.52350646998866, 3533.7067808718452, 10.257332545600228, 207.86510475716736, 5010.6179016193855, 488.49131870728286, 5054.36683745411, 1196397.8867770564, 259822.3563608776, 1.755268897755355e-05, 36159.19928190432, 0.000126125055343797], [26, 5.665439617216617, 0.21790152373910063, 0.08837725927058286, 4595.372837096542, 351.8328453556343, 4617.902881644577, 13.061238874532927, 192.41262006852403, 6461.494574069381, 494.70763349012293, 6493.173779600972, 1616803.10074567, 285379.98990094115, 1.608111710573093e-05, 22308.95545493826, 0.00020571241206246093], [31, 6.364578974234824, 0.2053089991688653, 0.06779549792436525, 6702.992474993043, 422.67741616117115, 6722.511320290043, 15.8584116839522, 224.08371067633476, 3861.6284242005618, 243.50663238918858, 3872.873331320429, 2833203.5398778333, 445151.76123153575, 1.0941677702879303e-05, 29852.606993866506, 0.00016315851748777848]]",False,t
A01,g-rel_q103-1,False,"[[0, 0], [0, 1], [1, 2], [2, 2], [2, 3], [3, 3], [3, 3], [3, 0]]","[[10, 2.3139256860755824, 0.23139256860755822, 0.11598605485607662, 1768.5338090700652, 160.54459674506597, 1778.0493085773535, 11.015841360755218, 254.00704408247907, 5869.825351519279, 532.8531121037184, 5901.4076260304, 283928.5472071691, 122704.26354474325, 3.5220128790725214e-05, 12350.092314748821, 0.00034992936530975566], [29, 7.062294021043193, 0.24352738003597219, 0.10699083540828148, 5052.687497320482, 390.3817507062745, 5074.163277769259, 12.942939797209306, 181.22011706318784, 7105.951655242478, 549.0214562208371, 7136.15456363698, 1972476.9909756745, 279296.9232233005, 1.4702326127340688e-05, 13959.12445651963, 0.00029416704925744363], [25, 5.772762518907319, 0.23091050075629277, 0.0783885412629337, 5212.470396755451, 359.71918283404887, 5228.73250303441, 14.490387628730232, 227.33619578410477, 5844.719904917586, 403.3515220344556, 5862.954532460733, 1875025.591667541, 324805.5996633047, 1.3333151350625793e-05, 21918.408040895825, 0.00019758196908102696], [19, 4.9411954754739185, 0.2600629197617852, 0.09346570177694537, 2611.675147767332, 390.9583883778231, 2688.107191076579, 6.680187010704072, 168.0066994422862, 3095.8003003222743, 463.43018471813497, 3186.400520197741, 1021056.3067375291, 206641.5530018265, 1.8608180444728504e-05, 30154.239037367355, 0.0001275184991692839]]",False,i
A01,g-rel_q116-1,True,"[[1, 0], [0, 1], [1, 2], [2, 1], [1, 2], [2, 2], [2, 2], [2, 3], [3, 2], [2, 3], [3, 2], [2, 3], [3, 2], [2, 3], [3, 3], [3, 4], [4, 4], [4, 4], [4, 5], [5, 1], [1, 0], [0, 1], [1, 2], [2, 2], [2, 2], [2, 2]]","[[16, 3.121222406385277, 0.1950764003990798, 0.0670568211402812, 2025.1232659259288, 129.53466001575998, 2031.2235309830094, 15.63383318163293, 145.08739507021497, 4001.0798699665283, 255.9244315506136, 4013.1322956790864, 262323.65374172066, 84045.16551113724, 6.099335600042124e-05, 3556.6933135137115, 0.0014412816198287478], [37, 8.556246751094784, 0.23124991219175095, 0.10393281451047531, 7091.047753455383, 764.0765728838433, 7257.260929675196, 9.280545962418064, 226.78940405234988, 4202.98095933675, 452.88078700939434, 4301.498250311464, 5418103.465615865, 633233.6622856992, 6.828957814262465e-06, 11610.065094543865, 0.0003724635418583635], [51, 10.990559207040071, 0.21550116092235436, 0.10510415997438065, 9315.781683419704, 651.2070522806041, 9362.959981292048, 14.305406630340896, 234.0739995323012, 4392.195701386383, 307.03046861113364, 4414.439279451597, 6066502.729749389, 551973.9819847795, 8.406820580480781e-06, 16264.267944246292, 0.000285309258771844], [18, 3.5550602698210714, 0.19750334832339286, 0.06576501503658425, 3910.293814680374, 288.6300823737878, 3965.453290348627, 13.547769458127318, 305.0348684883559, 4570.104075341267, 337.33258374865966, 4634.570981536083, 1128628.4258369093, 317470.968190847, 1.5948561623948554e-05, 42469.94199675959, 0.00011921855933762877], [11, 2.7717419052842267, 0.2519765368440206, 0.19479916986204143, 1319.828187753983, 110.32936905746004, 1326.9552813296848, 11.96261882968451, 165.8694101662106, 3776.5431364434526, 315.69534984030344, 3796.936530504774, 145615.81121914784, 52535.84792347964, 7.554124725813805e-05, 20656.14730213812, 0.0001921279617081701], [5, 0.9761351927305348, 0.19522703854610696, 0.05348821007368812, 1026.493879476696, 68.12025143633929, 1029.4857816143515, 15.06885042014253, 257.37144540358787, 6552.213799325682, 434.8184245406895, 6571.31141195107, 69925.0211678159, 71634.56628606455, 7.150516247968373e-05, 5115.698475976883, 0.0010012789701153346]]",True,r
A01,g-rel_q118-1,True,"[[1, 1], [1, 1], [1, 1], [1, 2], [2, 3]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [44, 11.11614546904693, 0.2526396697510666, 0.23675891307038796, 9354.06639367434, 1250.2883746239345, 9511.113965030461, 7.481527128881675, 237.77784912576152, 4126.855841765353, 551.6060786352087, 4196.142573333172, 11695280.46747146, 1052098.5444133615, 3.7622013531337633e-06, 21222.997295263187, 0.000186505539832748], [23, 5.196376027287668, 0.22592939249076818, 0.09687743000971662, 4633.660963978522, 564.5385945886301, 4755.327711648443, 8.207872780345504, 216.1512596203838, 3462.4058666335695, 421.8396117109192, 3553.318789305595, 2615880.4484046316, 503404.76414098777, 8.792450745991545e-06, 27441.221757761872, 0.00016129608342803345], [2, 0.4822622763144011, 0.24113113815720055, 0.0, 42.18142683725364, 49.30916463332903, 64.88964853397904, 0.8554480115597494, 64.88964853397904, 3498.629597125011, 4089.821415033644, 5382.104445730027, 2079.9309203868634, 4312.862569891107, 0.000961570396591827, 0, 0]]",True,r
A01,g-rel_q122-2,False,"[[2, 1], [1, 2], [2, 2], [2, 3], [3, 1], [1, 0], [0, 1], [1, 2]]","[[4, 0.8199553967064688, 0.2049888491766172, 0.06380582546619479, 521.4746596827814, 68.18485332433693, 525.941431150505, 7.647954556743963, 175.31381038350165, 10811.648109416514, 1413.6653178571526, 10904.25694552676, 35556.67318282896, 43364.15532558254, 0.0001124964638686074, 8218.197936034772, 0.0005935990068317617], [22, 4.509754681885582, 0.20498884917661736, 0.09531002557006937, 4394.866943865896, 583.6737331273712, 4458.275393993649, 7.52966373922267, 234.6460733680868, 3283.533386548719, 436.07968433497365, 3330.907690627341, 2565168.3957242887, 568804.4199006766, 8.576434996107998e-06, 29387.604256735027, 0.00016599904130188033], [29, 6.439061497665507, 0.2220366033677761, 0.11373448618090785, 4181.134831946661, 882.5523566827418, 4518.15209715264, 4.73754877009488, 180.72608388610558, 3502.496115246885, 739.3055534026176, 3784.8122111393245, 3690070.399542825, 573075.8125047674, 7.85892865447578e-06, 28565.860783985256, 0.00015766239141673722], [18, 4.075660648335093, 0.22642559157417186, 0.08047049357219052, 3883.495398609982, 608.5302926131878, 4076.765054682987, 6.3817618379082495, 239.80970909899924, 4879.749671052021, 764.6398902049058, 5122.599846948752, 2363224.591278101, 579838.4103061863, 7.616711533229719e-06, 49055.53057473625, 9.002984689891839e-05]]",False,i
